Time,AC Battery Power (kW),Meter (kW)
2020-08-13 00:00:00,0.0,17.122
2020-08-13 00:30:00,0.0,17.122
2020-08-13 01:00:00,0.0,16.067
2020-08-13 01:30:00,0.0,16.067
2020-08-13 02:00:00,0.0,14.962
2020-08-13 02:30:00,0.0,14.962
2020-08-13 03:00:00,0.0,16.124
2020-08-13 03:30:00,0.0,16.124
2020-08-13 04:00:00,0.0,17.347
2020-08-13 04:30:00,0.0,17.347
2020-08-13 05:00:00,0.0,18.407
2020-08-13 05:30:00,0.0,18.407
2020-08-13 06:00:00,0.0,11.823
2020-08-13 06:30:00,0.0,11.823
2020-08-13 07:00:00,0.0,4.676
2020-08-13 07:30:00,0.0,4.676
2020-08-13 08:00:00,-5.71,0.0
2020-08-13 08:30:00,-5.89,0.0
2020-08-13 09:00:00,-8.239,0.0
2020-08-13 09:30:00,-8.231,-0.008
2020-08-13 10:00:00,-12.676,0.0
2020-08-13 10:30:00,-12.676,0.0
2020-08-13 11:00:00,-9.533,0.0
2020-08-13 11:30:00,-9.533,0.0
2020-08-13 12:00:00,-10.393,0.0
2020-08-13 12:30:00,-10.393,0.0
2020-08-13 13:00:00,-5.764,0.0
2020-08-13 13:30:00,-5.764,0.0
2020-08-13 14:00:00,-3.389,0.0
2020-08-13 14:30:00,-3.389,0.0
2020-08-13 15:00:00,0.0,4.64
2020-08-13 15:30:00,0.0,4.64
2020-08-13 16:00:00,0.0,12.1
2020-08-13 16:30:00,0.0,12.1
2020-08-13 17:00:00,7.117,13.883
2020-08-13 17:30:00,7.117,13.883
2020-08-13 18:00:00,8.117,13.883
2020-08-13 18:30:00,8.117,13.883
2020-08-13 19:00:00,25.0,-5.0
2020-08-13 19:30:00,25.0,-5.0
2020-08-13 20:00:00,10.117,13.883
2020-08-13 20:30:00,10.117,13.883
2020-08-13 21:00:00,0.0,17.122
2020-08-13 21:30:00,0.0,17.122
2020-08-13 22:00:00,0.0,16.067
2020-08-13 22:30:00,0.0,16.067
2020-08-13 23:00:00,0.0,14.962
2020-08-13 23:30:00,0.0,14.962
